C,-8.732390291,2.7679730958,0.9464537721
C,-7.6834140593,2.182931159,-0.0232852189
H,-9.6469746257,3.0497609787,0.4096981569
H,-8.3571956861,3.6700991184,1.4431029435
H,-9.0112242314,2.0495497057,1.7236372113
C,-7.1243420057,3.3539556019,-0.8534702987
H,-7.9277609772,3.8783518899,-1.3829071443
H,-6.4065042411,3.034014694,-1.6136577258
H,-6.6199977027,4.0824213382,-0.2084286172
C,-8.3930195279,1.1678289351,-0.9370432143
H,-9.1257621257,1.6605755444,-1.5852557178
H,-8.9290055372,0.4187556975,-0.3421307854
H,-7.6897411911,0.6335696453,-1.5833484052
C,-6.5643702876,1.4579075945,0.7860086488
C,-5.3420426564,1.0179867785,-0.0648041066
H,-7.0068819434,0.5815491762,1.2798037129
H,-6.2389073873,2.1136164825,1.6031304957
C,-4.0717265971,1.7716973516,0.3458460016
H,-3.4265662278,1.9144318258,-0.5293846082
H,-3.4952001509,1.2228800438,1.0960838136
H,-4.2935594812,2.7666348023,0.7447100113
C,-5.1069429682,-0.4926924794,0.0028771753
H,-5.5197421915,1.2387307229,-1.1186881957
H,-5.984395326,-1.0370661633,-0.3641803605
H,-4.8970497253,-0.8267024804,1.0222002488
H,-4.2569515957,-0.7736508022,-0.6303175874
